#separator:Semicolon
#html:false
#notetype:Basic
#tags column:3
O que é o Cegid PHC Evolution?;Sucessor do PHC CS desktop: mesma plataforma + subscrição anual, web incluído, IA (Cegid Pulse), Cegid Docs e open banking.;phc::nivel0
Planos de subscrição do Evolution?;Standard, Plus, Advanced, Premium e Ultimate (BD 10 GB nos dois primeiros ,  web e Pulse a partir do Plus).;phc::nivel0
Gamas funcionais históricas do PHC CS?;Corporate (micro/pequenas), Advanced (PME, personalização e análises), Enterprise (aprovações, eventos/páginas completos, log de atividade).;phc::nivel0
Como é o versionamento atual do PHC CS/Evolution?;Anual: AAAANN — ex.: 202501, 202504, 202601 (antes: v18…v30).;phc::nivel0
O que faz o 'exe único' de instalação?;Instala a aplicação, cria/attacha a base de dados e configura o ODBC automaticamente.;phc::nivel0
BD mínima segundo os termos de licenciamento?;SQL Server 2008R2+ (instalações atuais: 2012+ ,  Express típico no Corporate).;phc::nivel0
Relação empresa × base de dados?;Cada empresa = uma BD SQL Server própria.;phc::nivel0
Onde ficam os erros de eventos Xbase?;Na Análise Interna (desktop) ,  na web, no Log de Código. Linha 0 = erro em expressão (não programa).;phc::nivel0
O que mostra o Dicionário de Dados?;Campos, descrições, tipos e tamanhos de QUALQUER tabela + relações entre tabelas (desde a v2008). Menu Supervisor > Tratamento da base de dados.;phc::nivel0
O que é o PHC On?;Acordo anual: atualizações de software e legislação + portal on.phc.pt (formação online, autoformação, truques e dicas) + Calendário PHC de obrigações legais.;phc::nivel0
Como se entra na Comunidade PHC?;community.phcsoftware.com com Nº de Cliente + ID Técnico + password (área de parceiros/clientes).;phc::nivel0
O que é o PEP?;Cegid PHC Evolution Program: especialização prática de 140 h, online pós-laboral, com certificação oficial Cegid (instalação, SQL, módulos, processos).;phc::nivel0
Onde estão os manuais oficiais públicos?;Help Center (helpcenter.phccs.net / phc.pt portal) + botão Ajuda dentro da aplicação (manuais in-app).;phc::nivel0
Menu Supervisor serve para quê?;Administração: Framework PHC (personalização), Tratamento da base de dados (dicionário, desfragmentação), monitores (ex.: EyePeak Sincronização).;phc::nivel0
Menu Sistema serve para quê?;Parâmetros gerais e por módulo, utilizadores, configuração da aplicação.;phc::nivel0
O que é 'ecrãs em memória'?;Parâmetro de performance: ecrãs principais fechados mantêm-se em memória e reabrem instantaneamente.;phc::nivel0
O que faz o parâmetro 'processamento assíncrono'?;Gravação/processamento de documentos em background ,  o documento fica marcado como 'não processado' até concluir (inibe gravação correta se algo falhar).;phc::nivel0
O que é o File Storage (202501+)?;Armazenamento de anexos em diretoria física, na BD ou ambos ,  documentos fiscalmente relevantes ficam sempre na BD.;phc::nivel0
O que é o Cegid Account?;Autenticação híbrida do ecossistema Cegid: contas Microsoft/Google, 2FA e ativação por utilizador (202601+).;phc::nivel0
Que executáveis/países a plataforma suporta?;PT, ES (SII/TicketBAI), PE (retenções), US (English) e geografias PALOP (AO, MZ, CV).;phc::nivel0
Que tabelas guardam os clientes?;CL (ficha) e CL2 (Clientes - Outros Dados, ex.: país da morada).;phc::nivel1
Numeração de sede e filiais do cliente?;Sede = 0 ,  filiais/estabelecimentos = 1 a 999.;phc::nivel1
O que é o serviço Ignios?;Preenchimento automático dos dados da empresa (nome, morada…) a partir do NIF — gama Advanced+.;phc::nivel1
Efeito de cliente 'Inativo'?;Não aparece em opções/documentos novos ,  continua em análises ,  dossiers antigos ainda podem ser faturados.;phc::nivel1
Com documentos certificados emitidos, o que fica protegido na ficha do cliente?;Sem nome/morada mas com NIF: pode definir nome/morada, não pode alterar NIF. Com nome/morada mas sem NIF: pode preencher NIF ou morada, não pode alterar o nome.;phc::nivel1
O que são Moradas de Carga e Descarga?;Tabela de moradas do cliente que alimenta os campos Local de carga/descarga dos documentos de transporte (ShipFrom/ShipTo no SAF-T).;phc::nivel1
O que são referências alternativas?;Códigos do artigo usados pelo cliente ou fornecedor — permitem introduzir o artigo por outro código no documento.;phc::nivel1
O que é um composto (kit)?;Artigo formado por componentes (explode/consome os componentes conforme configuração).;phc::nivel1
Para que serve a unidade alternativa + factor de conversão?;Vender/comprar noutra unidade (ex.: caixa = 10 un) convertendo quantidades e preços ,  o factor pode ser invertido.;phc::nivel1
O que são stocks cativos e pré-cativos?;Reservas de stock: cativo (reservado/comprometido) e pré-cativo (pré-reserva) para controlo de disponibilidade.;phc::nivel1
Como funcionam as tabelas de preços?;Várias tabelas com validades (início/fim) ,  no documento assume a tabela do cliente e o preço válido na data.;phc::nivel1
O que é o rappel?;Desconto retroativo por volumes atingidos (clientes e fornecedores), apurado no fim do período.;phc::nivel1
Que módulos opcionais estendem os artigos?;Cores/tamanhos (vestuário), lotes, números de série (Equipamentos), Ecovalor, terminais portáteis, EDI.;phc::nivel1
Tipos de documento de uma série de faturação?;1/2/3 = Fatura, Fatura Simplificada, Fatura-Recibo (+ND/NC via SAF-T) ,  4 = documento de transporte (guia) ,  5 = outro (proforma).;phc::nivel2
Mapping SAF-T dos documentos?;FT (fatura), FS (simplificada), FR (fatura-recibo), NC (crédito), ND (débito), GT/GA/GC (transporte).;phc::nivel2
O que uma série define?;Tipo de documento, mapping SAF-T, numeração e o que movimenta: stocks, conta corrente, tesouraria.;phc::nivel2
Que tabela guarda os Documentos de Faturação?;FT (ex.: campo ft.ndoc = tipo de documento).;phc::nivel2
O que a fatura atualiza automaticamente ao gravar?;Stocks (baixa), conta corrente do cliente (saldo/idades) e ficha do cliente (faturação acumulada).;phc::nivel2
Campo obrigatório numa NC/ND?;Motivo de Retificação (ex.: numa regularização de adiantamento surge 'Retificação de Fatura de Adiantamento').;phc::nivel2
Pode existir documento anulado sem motivo?;Não — o motivo de anulação é obrigatório ,  em anulações em série pede-se uma vez e aplica-se a todos.;phc::nivel2
O que é a Emissão Automática de Faturação?;Ecrã de preparação que fatura em lote por cópia de dossiers internos/guias (seleção por intervalo de datas, cliente…).;phc::nivel2
O que são Dossiers Internos (DI)?;Documentos parametrizáveis para uso interno (tabela BO): orçamentos, encomendas, propostas, folhas de obra, consignações, avenças.;phc::nivel2
Circuito comercial típico com DIs?;Orçamento → Encomenda de cliente → Guia → Fatura → Recibo (conversões por cópia com opções configuráveis).;phc::nivel2
Dossiers especiais que tem de conhecer?;Stock Inicial, Transferência de Armazém, Preços (cliente/fornecedor), Avenças (recorrência), Composição/Produção.;phc::nivel2
